file	well	sample	region	age	morph	sex	allele	allele.morph	nest	bird
B6-23608_S5_genome2_allele_3XC.gz.bismark.cov.gz	B6	5	HYP	Adult	Tan	m	unk	ZAL2-TS	M	23608
B7-23623_S6_genome2_allele_3XC.gz.bismark.cov.gz	B7	6	HYP	Adult	Tan	m	unk	ZAL2-TS	AE	23623
B8-23626_S7_genome2_allele_3XC.gz.bismark.cov.gz	B8	7	HYP	Adult	Tan	m	unk	ZAL2-TS	AH	23626
C2-TSF-13-06_S11_genome2_allele_3XC.gz.bismark.cov.gz	C2	11	HYP	Adult	Tan	f	unk	ZAL2-TS	BF	TSF13-06
C3-TSF13-03_S12_genome2_allele_3XC.gz.bismark.cov.gz	C3	12	HYP	Adult	Tan	f	unk	ZAL2-TS	AZ	TSF-13-03
C4-TSF13-05_S13_genome2_allele_3XC.gz.bismark.cov.gz	C4	13	HYP	Adult	Tan	f	unk	ZAL2-TS	BC	TSF13-05
C7-TSF13-02_S16_genome2_allele_3XC.gz.bismark.cov.gz	C7	16	HYP	Adult	Tan	f	unk	ZAL2-TS	AW	TSF13-02
C9-TSF13-01_S18_genome2_allele_3XC.gz.bismark.cov.gz	C9	18	HYP	Adult	Tan	f	unk	ZAL2-TS	AT	TSF13-01
D11-N1_S30_genome2_allele_3XC.gz.bismark.cov.gz	D11	30	HYPd	Chick	Tan	m	unk	ZAL2-TS	C10-12	N1-C10-12
D3-N1_S22_genome2_allele_3XC.gz.bismark.cov.gz	D3	22	HYPd	Chick	Tan	f	unk	ZAL2-TS	C10-10	N1-C10-10
D6-N3_S25_genome2_allele_3XC.gz.bismark.cov.gz	D6	25	HYPd	Chick	Tan	f	unk	ZAL2-TS	C10-01	N3-C10-01
D8-N4_S27_genome2_allele_3XC.gz.bismark.cov.gz	D8	27	HYPd	Chick	Tan	m	unk	ZAL2-TS	C10-01	N4-C10-01
D9-N1_S28_genome2_allele_3XC.gz.bismark.cov.gz	D9	28	HYPd	Chick	Tan	f	unk	ZAL2-TS	C10-19	N1-C10-19
E11-N1_S40_genome2_allele_3XC.gz.bismark.cov.gz	E11	40	HYPv	Chick	Tan	f	unk	ZAL2-TS	C10-10	N1-C10-10
E2-N2_S31_genome2_allele_3XC.gz.bismark.cov.gz	E2	31	HYPd	Chick	Tan	m	unk	ZAL2-TS	C10-10	N2-C10-10
E5-N3_S34_genome2_allele_3XC.gz.bismark.cov.gz	E5	34	HYPd	Chick	Tan	f	unk	ZAL2-TS	C10-10	N3-C10-10
E6-N2_S35_genome2_allele_3XC.gz.bismark.cov.gz	E6	35	HYPd	Chick	Tan	f	unk	ZAL2-TS	C10-12	N2-C10-12
F11-N3_S50_genome2_allele_3XC.gz.bismark.cov.gz	F11	50	HYPv	Chick	Tan	f	unk	ZAL2-TS	C10-10	N3-C10-10
