"","file","chromosome","position.1","position.2","per.meth","count.c","count.t","well","sample","region","age","morph","sex","allele","allele.morph","nest","bird","bird2"
"1","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258187,2258187,0,0,2,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"2","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258219,2258219,0,0,4,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"3","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258251,2258251,36.4341264697713,15741,27463,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"4","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258266,2258266,50,2,2,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"5","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258330,2258330,50.8801711508499,21880,21123,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"6","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258332,2258332,0,0,2,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"7","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258341,2258341,46.8727934891672,25226,28592,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"8","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258417,2258417,0.214704454650685,115,53447,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"9","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258431,2258431,11.6504854368932,48,364,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"10","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258440,2258440,22.5931373461675,12135,41576,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"11","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258477,2258477,0,0,3,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"12","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258479,2258479,0,0,1,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"13","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258539,2258539,9.42403077234538,931,8948,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"14","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258541,2258541,6.69914738124239,660,9192,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"15","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258561,2258561,0,0,2,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"16","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258572,2258572,0.649350649350649,61,9333,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"17","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258582,2258582,6.67343027843535,592,8279,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"18","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258616,2258616,19.7478991596639,47,191,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"19","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258619,2258619,6.68923651646043,573,7993,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"20","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258627,2258627,11.3843667013047,986,7675,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
"21","B10-WSF13-08_S9_genome1_allele_3XC.gz.bismark.cov.gz","NW_005081596.1",2258632,2258632,19.0406444525815,1560,6633,"B10","9","HYP","Adult","White","f","ZAL2","ZAL2-WS","CA","WSF13-08","WSF13-08"
